,lat,lon
1,43.6534817,-79.3839347
4,52.5310214,-1.2649062
5,6.4550575,3.3941795
8,38.97696275,-76.48697344200957
9,-24.7761086,134.755
10,51.3741113,-2.3867385
11,33.578813,-112.13279554194295
12,53.6153659,-2.1557561
13,,
15,51.5073219,-0.1276474
16,51.5073219,-0.1276474
19,54.73141115,-1.7919813357694694
20,,
21,51.4686132,-0.3613471
25,52.865196,-7.9794599
26,6.4550575,3.3941795
28,31.098207,-97.3427847
29,40.1672117,-105.1019287
31,0.3177137,32.5813539
33,-13.9875107,33.768144
35,52.6510216,-7.2484948
36,41.5928392,-70.63959038498226
37,49.2608724,-123.113952
40,53.46310955,-2.291386485054536
41,51.5073219,-0.1276474
43,,
47,53.4794892,-2.2451148
50,,
53,33.5635206,-101.879336
54,51.5073219,-0.1276474
55,-2.4833826,117.8902853
56,53.5120412,-2.2434612
57,,
58,35.0400627,33.9881024
60,53.51638545,-2.0235190148351148
61,,
62,5.5571096,-0.2012376
63,23.6585116,-102.0077097
65,,
66,,
70,-33.928992,18.417396
71,6.2100945,7.0741145
72,5.8101532,0.0995242
73,52.9559076,-1.1557387
75,-26.205,28.049722
76,,
77,52.0403038,-1.0297647
78,51.5073219,-0.1276474
79,53.4794892,-2.2451148
80,39.6262264,19.9036023
81,-37.8142176,144.9631608
83,51.5073219,-0.1276474
87,52.2609997,-7.1119081
89,53.4794892,-2.2451148
91,4.5693754,102.2656823
93,51.2254018,6.7763137
95,36.4496621,28.216782
96,59.6749712,14.5208584
97,9.0643305,7.4892974
98,51.47201855,-0.1217264727379802
100,57.1482429,-2.0928095
101,53.4794892,-2.2451148
102,41.8755616,-87.6244212
105,,
106,54.7023545,-3.2765753
107,51.5441829,-1.8972078
108,52.9534193,-1.1496461
111,19.37218875,-72.33465445105234
112,6.4550575,3.3941795
113,53.3498006,-6.2602964
116,45.4641943,9.1896346
118,51.5073219,-0.1276474
120,36.7014631,-118.755997
121,54.9738474,-1.6131572
122,61.0666922,-107.991707
123,,
124,,
125,32.7174202,-117.1627728
126,,
127,53.4616583,-2.292451
129,6.2183136,6.9531842
130,,
131,,
133,53.4794892,-2.2451148
134,43.6534817,-79.3839347
136,6.4550575,3.3941795
137,52.4796992,-1.9026911
141,54.7023545,-3.2765753
142,14.4750607,-14.4529612
